aspiration,boreratio,car_ID,carbody,carheight,carlength,carwidth,citympg,Combinada,compressionratio,curbweight,cylindernumber,doornumber,drivewheel,enginelocation,enginesize,enginetype,fuelsystem,fueltype,highwaympg,horsepower,peakrpm,price,stroke,symboling,wheelbase
std,3,135,hatchback,56,187,67,21,saab 99le,93,2707,4,2,fwd,front,121,ohc,mpfi,gas,28,110,5250,15040,207,3,99
std,3,3,hatchback,52,171,66,19,alfa-romeo Quadrifoglio,90,2823,6,2,rwd,front,152,ohcv,mpfi,gas,26,154,5000,16500,347,1,95
std,3,19,hatchback,53,141,60,47,chevrolet impala,95,1488,3,2,fwd,front,61,l,2bbl,gas,53,48,5100,5151,303,2,88
std,3,31,hatchback,51,145,64,49,honda civic,96,1713,4,2,fwd,front,92,ohc,1bbl,gas,54,58,4800,6479,341,2,87
std,3,32,hatchback,51,145,64,31,honda civic cvcc,92,1819,4,2,fwd,front,92,ohc,1bbl,gas,38,76,6000,6855,341,2,87
std,3,33,hatchback,53,150,64,38,honda civic,101,1837,4,2,fwd,front,79,ohc,1bbl,gas,42,60,5500,5399,307,1,94
std,3,34,hatchback,53,150,64,30,honda accord cvcc,92,1940,4,2,fwd,front,92,ohc,1bbl,gas,34,76,6000,6529,341,1,94
std,3,35,hatchback,53,150,64,30,honda civic cvcc,92,1956,4,2,fwd,front,92,ohc,1bbl,gas,34,76,6000,7129,341,1,94
std,3,36,sedan,55,163,64,30,honda accord lx,92,2010,4,4,fwd,front,92,ohc,1bbl,gas,34,76,6000,7295,341,0,97
std,3,37,wagon,58,157,64,30,honda civic 1500 gl,92,2024,4,4,fwd,front,92,ohc,1bbl,gas,34,76,6000,7295,341,0,97
std,3,22,hatchback,51,157,64,37,dodge rampage,941,1876,4,2,fwd,front,90,ohc,2bbl,gas,41,68,5500,5572,323,1,94
std,3,23,hatchback,51,157,64,31,dodge challenger se,94,1876,4,2,fwd,front,90,ohc,2bbl,gas,38,68,5500,6377,323,1,94
std,3,25,hatchback,51,157,64,31,dodge monaco (sw),94,1967,4,4,fwd,front,90,ohc,2bbl,gas,38,68,5500,6229,323,1,94
